subject,body,is_phishing
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Woman travel professor,Urgent action required. http://secure-update.xyz/login,1
Behind enough that around,Verify your account. http://bank-secure.gq,1
Section who past unit,Payment declined. http://password-reset.tk,1
HR Policy Update,Thanks for subscribing to our newsletter!,0
Media sport attention later,Unauthorized login. http://secure-update.xyz/login,1
Support Ticket Response,Thank you for your order #12345.,0
Pass order,Banking issue. http://secure-access.ml,1
Father what picture,Invoice error. http://secure-update.xyz/login,1
When think result,Invoice error. http://doc-share.xyz/file.pdf,1
As board dinner,Payment declined. http://login-security.xyz,1
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Support Ticket Response,Thank you for your order #12345.,0
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
HR Policy Update,Your support ticket has been resolved.,0
Risk their many focus including,Urgent action required. http://confirm-user.ga,1
Pick somebody foot,Payment declined. http://secure-access.ml,1
Bar prove five,Banking issue. http://doc-share.xyz/file.pdf,1
Bank mission act along,Document shared with you. http://secure-update.xyz/login,1
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Space teach writer land them,Verify your account. http://confirm-user.ga,1
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Project Status,Please review the updated HR policy document.,0
Meeting Reminder,Your support ticket has been resolved.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Rather report,Payment declined. http://secure-access.ml,1
Support Ticket Response,Reminder: Submit your timesheet by end of day Friday.,0
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Green movement involve,Payment declined. http://doc-share.xyz/file.pdf,1
Southern us election particularly,Banking issue. http://doc-share.xyz/file.pdf,1
Team Outing,"Dear customer, please find your invoice attached.",0
Newsletter Subscription,Please review the updated HR policy document.,0
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Your support ticket has been resolved.,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Fill page,Unauthorized login. http://secure-access.ml,1
HR Policy Update,Please review the updated HR policy document.,0
Will while international recently,Password expires. http://alert-now.cf,1
Doctor resource trip,Login immediately. http://login-security.xyz,1
Method class campaign night control,Payment declined. http://secure-access.ml,1
Book month increase level in,Urgent action required. http://secure-update.xyz/login,1
Trade news sell,Payment declined. http://password-reset.tk,1
Project Status,Your support ticket has been resolved.,0
Like affect,Invoice error. http://secure-update.xyz/login,1
Wear feel be course,Reset your password. http://secure-update.xyz/login,1
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Your support ticket has been resolved.,0
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Age throughout parent best,Reset your password. http://doc-share.xyz/file.pdf,1
Body use tell care,Confirm your identity. http://password-reset.tk,1
Serve scientist,Update required. http://secure-update.xyz/login,1
Bar college,Suspended account. http://bank-secure.gq,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Project Status,Your support ticket has been resolved.,0
Your Monthly Invoice,Please review the updated HR policy document.,0
Project Status,Thank you for your order #12345.,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Project Status,Reminder: Submit your timesheet by end of day Friday.,0
Drug issue simple,Unauthorized login. http://secure-access.ml,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Order Confirmation,Reminder: Submit your timesheet by end of day Friday.,0
Past hundred attorney,Login immediately. http://password-reset.tk,1
Cover ten human,Confirm your identity. http://secure-access.ml,1
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Current dog,Update required. http://confirm-user.ga,1
Team Outing,Please review the updated HR policy document.,0
Newsletter Subscription,Reminder: Submit your timesheet by end of day Friday.,0
Return seek,Invoice error. http://confirm-user.ga,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Project Status,Thanks for subscribing to our newsletter!,0
Sit probably smile range,Suspended account. http://bank-secure.gq,1
Attack religious how others,Security alert. http://secure-access.ml,1
Four deep life write,Urgent action required. http://secure-access.ml,1
Late write others,Login immediately. http://login-security.xyz,1
Congress animal lose,Invoice error. http://alert-now.cf,1
Early coach run everyone,Payment declined. http://secure-update.xyz/login,1
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Team Outing,"Dear customer, please find your invoice attached.",0
Stay occur picture affect,Reset your password. http://password-reset.tk,1
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Trouble political local,Suspended account. http://secure-update.xyz/login,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Guy moment interesting pass,Invoice error. http://alert-now.cf,1
Office understand structure,Click here to update. http://bank-secure.gq,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Your support ticket has been resolved.,0
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Cell last along center,Login immediately. http://alert-now.cf,1
Package Delivery,Thanks for subscribing to our newsletter!,0
Difference number possible feel,Document shared with you. http://secure-update.xyz/login,1
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Guess culture ahead ball important,Update required. http://confirm-user.ga,1
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Notice specific long,Password expires. http://secure-update.xyz/login,1
Enough especially,Banking issue. http://password-reset.tk,1
Package Delivery,Looking forward to our team outing next Friday!,0
Production card mouth could staff,Unauthorized login. http://secure-access.ml,1
Before choice sell especially,Login immediately. http://secure-access.ml,1
Meeting Reminder,Thank you for your order #12345.,0
Lay owner of environment war,Invoice error. http://password-reset.tk,1
Measure our,Login immediately. http://password-reset.tk,1
Order Confirmation,"Dear customer, please find your invoice attached.",0
Meeting Reminder,Your support ticket has been resolved.,0
Timesheet Submission Reminder,Here is the latest status update on Project Apollo.,0
Support Ticket Response,Looking forward to our team outing next Friday!,0
Hand time value,Document shared with you. http://secure-access.ml,1
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
HR Policy Update,Your support ticket has been resolved.,0
Package Delivery,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Looking forward to our team outing next Friday!,0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Yet weight your,Click here to update. http://secure-update.xyz/login,1
HR Policy Update,Thank you for your order #12345.,0
Market rest music,Suspended account. http://bank-secure.gq,1
Meeting Reminder,Your support ticket has been resolved.,0
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Under north southern record usually,Invoice error. http://doc-share.xyz/file.pdf,1
Pm so happy trade thus,Urgent action required. http://doc-share.xyz/file.pdf,1
HR Policy Update,Thanks for subscribing to our newsletter!,0
My fund player prepare,Login immediately. http://secure-update.xyz/login,1
Form raise late hospital,Payment declined. http://confirm-user.ga,1
Husband your area,Click here to update. http://doc-share.xyz/file.pdf,1
Package Delivery,Looking forward to our team outing next Friday!,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Until voice people,Verify your account. http://doc-share.xyz/file.pdf,1
Coach exactly concern effort,Confirm your identity. http://secure-update.xyz/login,1
Along two,Security alert. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Audience yard provide any,Urgent action required. http://login-security.xyz,1
Will smile line effort,Unauthorized login. http://login-security.xyz,1
Recently stage end,Document shared with you. http://login-security.xyz,1
Television high avoid none,Verify your account. http://secure-update.xyz/login,1
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Him economy guy tree,Document shared with you. http://secure-update.xyz/login,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Order Confirmation,Thank you for your order #12345.,0
Federal stop,Confirm your identity. http://confirm-user.ga,1
End speech strategy,Urgent action required. http://doc-share.xyz/file.pdf,1
Rule camera,Reset your password. http://doc-share.xyz/file.pdf,1
Project Status,Here is the latest status update on Project Apollo.,0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Care term tell,Document shared with you. http://password-reset.tk,1
Worker investment president dark conference,Security alert. http://confirm-user.ga,1
Package Delivery,"Dear customer, please find your invoice attached.",0
Team Outing,"Dear customer, please find your invoice attached.",0
Ground sort response that,Click here to update. http://password-reset.tk,1
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Newsletter Subscription,Thank you for your order #12345.,0
Support Ticket Response,Please review the updated HR policy document.,0
Side some fill key,Unauthorized login. http://login-security.xyz,1
Project Status,Your support ticket has been resolved.,0
Environmental bill near fast general,Unauthorized login. http://secure-update.xyz/login,1
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Project Status,"Dear customer, please find your invoice attached.",0
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Team Outing,Your support ticket has been resolved.,0
Note statement,Payment declined. http://secure-update.xyz/login,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Your support ticket has been resolved.,0
Project Status,Thank you for your order #12345.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Set stay three,Invoice error. http://alert-now.cf,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Timesheet Submission Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Looking forward to our team outing next Friday!,0
HR Policy Update,Please review the updated HR policy document.,0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Well responsibility five drive,Suspended account. http://secure-access.ml,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Meeting Reminder,Please review the updated HR policy document.,0
Citizen campaign security sense,Update required. http://bank-secure.gq,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Package Delivery,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Purpose deal experience create three,Suspended account. http://confirm-user.ga,1
Produce free teach garden,Update required. http://doc-share.xyz/file.pdf,1
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Style hospital ready yeah worry,Confirm your identity. http://password-reset.tk,1
Meeting Reminder,Looking forward to our team outing next Friday!,0
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Since soldier indicate easy couple,Security alert. http://secure-update.xyz/login,1
Growth life girl defense,Invoice error. http://secure-update.xyz/login,1
Your Monthly Invoice,Thank you for your order #12345.,0
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Use environment almost night,Confirm your identity. http://secure-access.ml,1
Order Confirmation,Thank you for your order #12345.,0
Company others often,Urgent action required. http://secure-access.ml,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Nation health camera to,Login immediately. http://login-security.xyz,1
Timesheet Submission Reminder,Thank you for your order #12345.,0
Team Outing,Your support ticket has been resolved.,0
Listen much eight hear central,Click here to update. http://secure-access.ml,1
Read quality current,Banking issue. http://secure-access.ml,1
Address meeting,Payment declined. http://password-reset.tk,1
Party wait,Reset your password. http://bank-secure.gq,1
Your Monthly Invoice,"Hi team, don't forget our meeting today at 2 PM.",0
Yourself she population,Update required. http://bank-secure.gq,1
Project Status,Here is the latest status update on Project Apollo.,0
Look individual,Password expires. http://confirm-user.ga,1
Team Outing,Thank you for your order #12345.,0
Able authority indicate,Invoice error. http://login-security.xyz,1
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Order Confirmation,"Hi team, don't forget our meeting today at 2 PM.",0
Great garden form,Banking issue. http://bank-secure.gq,1
Well too since bag leave,Confirm your identity. http://doc-share.xyz/file.pdf,1
Long answer majority,Suspended account. http://password-reset.tk,1
Support Ticket Response,Here is the latest status update on Project Apollo.,0
Dream guy bit,Reset your password. http://secure-update.xyz/login,1
Him control young clearly,Update required. http://secure-access.ml,1
Bit than,Login immediately. http://password-reset.tk,1
Director you large,Urgent action required. http://doc-share.xyz/file.pdf,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,Thanks for subscribing to our newsletter!,0
Meeting Reminder,Thank you for your order #12345.,0
HR Policy Update,Thanks for subscribing to our newsletter!,0
Support Ticket Response,Looking forward to our team outing next Friday!,0
Maybe clearly two tax,Click here to update. http://login-security.xyz,1
Compare certain son,Security alert. http://confirm-user.ga,1
Area them late pick majority,Update required. http://bank-secure.gq,1
Team Outing,"Dear customer, please find your invoice attached.",0
Timesheet Submission Reminder,Thank you for your order #12345.,0
Begin of against,Update required. http://secure-access.ml,1
Meeting Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,"Dear customer, please find your invoice attached.",0
On spring right,Security alert. http://bank-secure.gq,1
Save agent,Confirm your identity. http://confirm-user.ga,1
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Hold impact discover wait direction,Security alert. http://login-security.xyz,1
Newsletter Subscription,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Package Delivery,Thanks for subscribing to our newsletter!,0
Sister kitchen surface main,Unauthorized login. http://alert-now.cf,1
Team Outing,Here is the latest status update on Project Apollo.,0
Maintain hour approach friend effect,Urgent action required. http://password-reset.tk,1
Party though parent husband,Suspended account. http://login-security.xyz,1
Support Ticket Response,Thanks for subscribing to our newsletter!,0
Your Monthly Invoice,Here is the latest status update on Project Apollo.,0
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Realize situation western security serious,Document shared with you. http://login-security.xyz,1
Particular within although purpose fish,Banking issue. http://password-reset.tk,1
World cup against generation,Urgent action required. http://password-reset.tk,1
Timesheet Submission Reminder,Looking forward to our team outing next Friday!,0
Thus world green boy,Update required. http://bank-secure.gq,1
Evening however pattern serve,Banking issue. http://secure-access.ml,1
Key idea consumer high,Invoice error. http://confirm-user.ga,1
Team Outing,"Dear customer, please find your invoice attached.",0
Team Outing,"Dear customer, please find your invoice attached.",0
Throughout agency simple suddenly dinner,Urgent action required. http://secure-access.ml,1
Game against total agent,Confirm your identity. http://login-security.xyz,1
Theory fight example job none,Unauthorized login. http://alert-now.cf,1
Knowledge rule thousand so,Document shared with you. http://login-security.xyz,1
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Hand society network scene,Payment declined. http://doc-share.xyz/file.pdf,1
Political attack remember,Urgent action required. http://secure-access.ml,1
Nor try candidate as south,Confirm your identity. http://login-security.xyz,1
None her entire,Password expires. http://doc-share.xyz/file.pdf,1
Package Delivery,Your support ticket has been resolved.,0
Team Outing,Looking forward to our team outing next Friday!,0
Package Delivery,"Hi team, don't forget our meeting today at 2 PM.",0
Civil seat easy,Document shared with you. http://password-reset.tk,1
Stock surface trial,Unauthorized login. http://alert-now.cf,1
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,"Dear customer, please find your invoice attached.",0
Reflect television whatever bring difficult,Banking issue. http://password-reset.tk,1
Realize allow section,Confirm your identity. http://login-security.xyz,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Package Delivery,Please review the updated HR policy document.,0
Top put call material,Document shared with you. http://password-reset.tk,1
Stuff mission together become,Login immediately. http://password-reset.tk,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
Order Confirmation,Please review the updated HR policy document.,0
Home southern various ready ever,Login immediately. http://confirm-user.ga,1
Act customer skin our,Invoice error. http://password-reset.tk,1
Billion throw,Reset your password. http://alert-now.cf,1
Increase huge point,Security alert. http://secure-access.ml,1
High property hold how,Password expires. http://bank-secure.gq,1
Understand military themselves,Reset your password. http://secure-access.ml,1
Support Ticket Response,Looking forward to our team outing next Friday!,0
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
Computer state,Confirm your identity. http://login-security.xyz,1
Support Ticket Response,Thank you for your order #12345.,0
Project Status,Please review the updated HR policy document.,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
Human Republican discuss,Banking issue. http://bank-secure.gq,1
Your Monthly Invoice,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Team Outing,Thank you for your order #12345.,0
Shoulder win coach finish,Document shared with you. http://bank-secure.gq,1
Support Ticket Response,Reminder: Submit your timesheet by end of day Friday.,0
I yeah vote wind,Confirm your identity. http://doc-share.xyz/file.pdf,1
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Ago apply order,Urgent action required. http://login-security.xyz,1
Your Monthly Invoice,Thank you for your order #12345.,0
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Defense trip seek,Verify your account. http://secure-update.xyz/login,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Leader special relate,Confirm your identity. http://login-security.xyz,1
Four degree seem water,Confirm your identity. http://doc-share.xyz/file.pdf,1
Big control,Reset your password. http://login-security.xyz,1
Meeting Reminder,Here is the latest status update on Project Apollo.,0
Newsletter Subscription,"Dear customer, please find your invoice attached.",0
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Order Confirmation,Please review the updated HR policy document.,0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Catch head physical,Banking issue. http://doc-share.xyz/file.pdf,1
If important box score human,Confirm your identity. http://secure-access.ml,1
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Fine near Republican very,Click here to update. http://bank-secure.gq,1
HR Policy Update,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Physical need,Urgent action required. http://login-security.xyz,1
Newsletter Subscription,Looking forward to our team outing next Friday!,0
Project Status,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Project Status,Thank you for your order #12345.,0
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Political catch rate hear,Document shared with you. http://secure-update.xyz/login,1
Meeting Reminder,Looking forward to our team outing next Friday!,0
Follow issue film firm,Security alert. http://secure-access.ml,1
Nice talk grow open,Invoice error. http://alert-now.cf,1
Serious sound within bag,Urgent action required. http://secure-update.xyz/login,1
Meeting Reminder,Thanks for subscribing to our newsletter!,0
Timesheet Submission Reminder,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Timesheet Submission Reminder,Thanks for subscribing to our newsletter!,0
Order Confirmation,Thanks for subscribing to our newsletter!,0
I possible coach impact,Login immediately. http://secure-access.ml,1
Timesheet Submission Reminder,Please review the updated HR policy document.,0
Team Outing,Please review the updated HR policy document.,0
HR Policy Update,Looking forward to our team outing next Friday!,0
Project Status,"Dear customer, please find your invoice attached.",0
Mrs then rather box toward,Update required. http://alert-now.cf,1
Home opportunity,Document shared with you. http://secure-update.xyz/login,1
I grow shake phone,Banking issue. http://confirm-user.ga,1
Play task own per foreign,Click here to update. http://confirm-user.ga,1
Across north rock wear job,Click here to update. http://alert-now.cf,1
Data difference,Payment declined. http://password-reset.tk,1
Loss worry phone,Security alert. http://confirm-user.ga,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Project Status,Here is the latest status update on Project Apollo.,0
Firm ever all,Login immediately. http://alert-now.cf,1
Meeting Reminder,Thank you for your order #12345.,0
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Size throw two challenge,Update required. http://secure-update.xyz/login,1
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Order Confirmation,Looking forward to our team outing next Friday!,0
Election result my,Invoice error. http://secure-update.xyz/login,1
Candidate various relationship,Security alert. http://password-reset.tk,1
Because place star,Confirm your identity. http://secure-access.ml,1
No painting focus decide,Update required. http://login-security.xyz,1
Your Monthly Invoice,Thank you for your order #12345.,0
Project Status,Please review the updated HR policy document.,0
Teach actually fine,Security alert. http://password-reset.tk,1
Sometimes return capital my get,Confirm your identity. http://bank-secure.gq,1
Support Ticket Response,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Exist true land realize,Click here to update. http://login-security.xyz,1
Myself them,Password expires. http://secure-update.xyz/login,1
They lay history receive,Unauthorized login. http://secure-access.ml,1
Cover effect although,Invoice error. http://secure-access.ml,1
Your Monthly Invoice,Please review the updated HR policy document.,0
Must rock certainly along magazine,Payment declined. http://confirm-user.ga,1
Scene order ask,Click here to update. http://bank-secure.gq,1
Population successful section remain,Confirm your identity. http://confirm-user.ga,1
HR Policy Update,Please review the updated HR policy document.,0
Newspaper series director,Password expires. http://secure-update.xyz/login,1
Type feeling three,Urgent action required. http://confirm-user.ga,1
Whose laugh consider factor,Confirm your identity. http://alert-now.cf,1
Among know allow cup,Banking issue. http://confirm-user.ga,1
Weight agreement go,Invoice error. http://secure-update.xyz/login,1
Radio body fish activity another,Security alert. http://login-security.xyz,1
Team Outing,Looking forward to our team outing next Friday!,0
Today Mrs,Confirm your identity. http://password-reset.tk,1
Timesheet Submission Reminder,"Dear customer, please find your invoice attached.",0
Reach physical price,Banking issue. http://confirm-user.ga,1
Concern entire speech,Click here to update. http://secure-update.xyz/login,1
Timesheet Submission Reminder,Here is the latest status update on Project Apollo.,0
Dream various organization little guy,Reset your password. http://confirm-user.ga,1
Fight campaign two side,Password expires. http://login-security.xyz,1
Meeting Reminder,Thank you for your order #12345.,0
Support Ticket Response,"Hi team, don't forget our meeting today at 2 PM.",0
Meeting Reminder,Thank you for your order #12345.,0
Team Outing,Thank you for your order #12345.,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Say send store true,Document shared with you. http://secure-update.xyz/login,1
Team Outing,Your support ticket has been resolved.,0
Wall staff cultural,Urgent action required. http://bank-secure.gq,1
HR Policy Update,"Hi team, don't forget our meeting today at 2 PM.",0
A pattern foot,Invoice error. http://secure-access.ml,1
Order Confirmation,Thanks for subscribing to our newsletter!,0
Beat may our,Payment declined. http://login-security.xyz,1
Meeting Reminder,"Hi team, don't forget our meeting today at 2 PM.",0
Doctor where nice,Login immediately. http://doc-share.xyz/file.pdf,1
Activity member not society,Click here to update. http://password-reset.tk,1
Store dream laugh,Confirm your identity. http://alert-now.cf,1
Tonight seat white ground,Payment declined. http://doc-share.xyz/file.pdf,1
Become campaign collection event,Update required. http://login-security.xyz,1
Your Monthly Invoice,Thank you for your order #12345.,0
Build expect,Invoice error. http://secure-update.xyz/login,1
Meeting Reminder,Looking forward to our team outing next Friday!,0
System old fire,Confirm your identity. http://doc-share.xyz/file.pdf,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Order Confirmation,Thank you for your order #12345.,0
Some wrong continue loss,Document shared with you. http://secure-update.xyz/login,1
Newsletter Subscription,Your support ticket has been resolved.,0
Star will participant piece environmental,Login immediately. http://password-reset.tk,1
Package Delivery,Here is the latest status update on Project Apollo.,0
Package Delivery,Reminder: Submit your timesheet by end of day Friday.,0
Team Outing,Looking forward to our team outing next Friday!,0
Project Status,"Hi team, don't forget our meeting today at 2 PM.",0
Team Outing,Thank you for your order #12345.,0
Military benefit animal teacher,Suspended account. http://confirm-user.ga,1
Thank water box,Document shared with you. http://doc-share.xyz/file.pdf,1
Happen other investment,Unauthorized login. http://doc-share.xyz/file.pdf,1
Your Monthly Invoice,"Dear customer, please find your invoice attached.",0
Package Delivery,Your support ticket has been resolved.,0
Newsletter Subscription,Please review the updated HR policy document.,0
Day field their believe,Banking issue. http://secure-access.ml,1
Bit address in,Click here to update. http://confirm-user.ga,1
Certainly as administration,Urgent action required. http://secure-access.ml,1
Physical too report,Banking issue. http://secure-access.ml,1
Painting company,Payment declined. http://password-reset.tk,1
Type mother anything notice,Document shared with you. http://confirm-user.ga,1
Air instead,Password expires. http://login-security.xyz,1
Message painting trip after,Confirm your identity. http://alert-now.cf,1
Deal policy,Update required. http://secure-update.xyz/login,1
Order Confirmation,Here is the latest status update on Project Apollo.,0
Exist organization,Confirm your identity. http://login-security.xyz,1
Action technology right,Password expires. http://secure-access.ml,1
Hear unit general mention,Reset your password. http://secure-access.ml,1
Writer agent cold,Verify your account. http://secure-access.ml,1
Your Monthly Invoice,Your support ticket has been resolved.,0
Team Outing,Please review the updated HR policy document.,0
Team Outing,Looking forward to our team outing next Friday!,0
HR Policy Update,Reminder: Submit your timesheet by end of day Friday.,0
Customer approach less detail option,Click here to update. http://secure-access.ml,1
Know herself,Invoice error. http://secure-access.ml,1
Project Status,Thank you for your order #12345.,0
Timesheet Submission Reminder,Reminder: Submit your timesheet by end of day Friday.,0
Order Confirmation,Looking forward to our team outing next Friday!,0
Put couple feel,Urgent action required. http://bank-secure.gq,1
Begin operation seek often,Verify your account. http://bank-secure.gq,1
Team Outing,Looking forward to our team outing next Friday!,0
Sure along action whom,Verify your account. http://secure-access.ml,1
First physical fire,Document shared with you. http://bank-secure.gq,1
